Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-123,7860,14,Operador 14,2025-11-17,Recolección,95072,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,48532,Ciudad,Centro,Calle 72,194.77,7,10:00,9:13,ABC-385,2,Sí,OK
FR-124,3525,30,Operador 37,2025-09-28,Traslado,51827,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,77158,Ciudad,Centro,Calle 17,177.63,8,21:40,16:39,ABC-595,2,No,OK
FR-125,2076,38,Operador 3,2025-05-30,Recolección,26643,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,91274,Ciudad,Centro,Calle 77,98.14,2,0:02,22:16,ABC-349,2,No,Cambio ruta
FR-126,2065,47,Operador 47,2025-11-19,Traslado,79998,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,38154,Ciudad,Centro,Calle 94,221.91,2,2:48,3:46,ABC-931,2,Sí,Botón pánico
FR-127,6984,42,Operador 42,2025-07-08,Entrega,51938,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,83604,Ciudad,Centro,Calle 60,207.97,8,14:53,10:39,ABC-789,2,Sí,Cambio ruta
FR-128,2257,37,Operador 34,2025-05-19,Recolección,81968,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,62130,Ciudad,Centro,Calle 59,130.15,10,11:37,11:43,ABC-682,2,No,Botón pánico
FR-129,9088,16,Operador 7,2025-10-13,Recolección,71120,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,84429,Ciudad,Centro,Calle 13,248.72,8,18:05,19:26,ABC-586,2,No,OK
FR-130,5648,22,Operador 35,2025-11-27,Entrega,38448,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,56318,Ciudad,Centro,Calle 88,138.87,1,19:13,20:30,ABC-178,3,No,Botón pánico
FR-131,4434,4,Operador 42,2025-05-19,Recolección,16642,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,66417,Ciudad,Centro,Calle 13,124.87,4,11:38,14:36,ABC-294,1,Sí,Cambio ruta
FR-132,7806,42,Operador 31,2025-11-20,Recolección,98567,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,12036,Ciudad,Centro,Calle 5,71.15,9,14:54,6:53,ABC-232,1,Sí,Cambio ruta
FR-133,5314,21,Operador 39,2025-11-07,Recolección,99494,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,24647,Ciudad,Centro,Calle 97,85.15,3,15:29,23:12,ABC-738,1,No,Cambio ruta
FR-134,7602,26,Operador 16,2026-01-26,Entrega,16801,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,26501,Ciudad,Centro,Calle 85,130.93,9,14:01,1:36,ABC-484,2,Sí,OK
FR-135,2899,14,Operador 36,2025-07-30,Recolección,25231,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,53141,Ciudad,Centro,Calle 4,278.25,10,16:56,21:47,ABC-847,1,Sí,OK
FR-136,5026,30,Operador 48,2025-08-23,Entrega,22865,CDMX-Veracruz,Ruta 1,Cliente 4,CDMX,11441,Ciudad,Centro,Calle 19,194.63,9,22:03,10:09,ABC-111,2,Sí,Botón pánico
FR-137,5588,34,Operador 16,2025-05-24,Recolección,36246,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,84328,Ciudad,Centro,Calle 14,270.43,3,23:21,13:55,ABC-836,2,No,OK
FR-138,6359,23,Operador 4,2025-12-26,Recolección,48197,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,62821,Ciudad,Centro,Calle 83,99.25,4,16:49,11:08,ABC-697,3,Sí,Cambio ruta
FR-139,7267,11,Operador 3,2026-01-14,Traslado,87598,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,76171,Ciudad,Centro,Calle 22,219.94,2,16:34,15:44,ABC-222,2,Sí,Botón pánico
FR-140,7165,20,Operador 28,2025-04-25,Recolección,47535,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,79669,Ciudad,Centro,Calle 67,270.45,1,10:08,5:47,ABC-188,1,No,OK
FR-141,2311,4,Operador 12,2026-02-07,Traslado,35370,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,28274,Ciudad,Centro,Calle 75,208.37,10,5:54,6:02,ABC-590,2,No,Cambio ruta
FR-142,8399,15,Operador 20,2026-02-04,Traslado,43751,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,60238,Ciudad,Centro,Calle 45,91.02,2,17:26,12:54,ABC-212,2,No,OK
FR-143,2093,43,Operador 43,2025-12-21,Recolección,33094,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,76227,Ciudad,Centro,Calle 11,146.38,8,14:46,15:38,ABC-730,1,No,Cambio ruta
FR-144,6794,30,Operador 19,2025-09-06,Entrega,49857,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,85063,Ciudad,Centro,Calle 6,202.03,2,10:11,18:13,ABC-279,1,No,Botón pánico
FR-145,9954,41,Operador 27,2025-04-16,Recolección,67701,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,78992,Ciudad,Centro,Calle 80,165.03,4,10:51,21:06,ABC-959,1,No,OK
FR-146,5564,31,Operador 35,2025-10-05,Traslado,82817,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,95652,Ciudad,Centro,Calle 12,126.78,6,7:50,12:02,ABC-194,2,Sí,Cambio ruta
FR-147,1053,10,Operador 3,2026-01-26,Recolección,64651,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,62882,Ciudad,Centro,Calle 12,214.44,2,8:49,0:24,ABC-236,3,Sí,Botón pánico
FR-148,2023,41,Operador 11,2025-10-12,Traslado,16029,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,91874,Ciudad,Centro,Calle 52,107.87,7,20:59,4:46,ABC-643,2,Sí,Cambio ruta
FR-149,5574,50,Operador 26,2025-10-28,Recolección,46923,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,51860,Ciudad,Centro,Calle 25,202.34,1,5:43,0:27,ABC-496,1,Sí,OK
FR-150,2285,16,Operador 31,2025-08-04,Traslado,52613,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,57965,Ciudad,Centro,Calle 74,82.13,10,10:52,14:09,ABC-681,3,Sí,Cambio ruta
FR-151,4699,43,Operador 41,2025-10-08,Recolección,54912,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,22394,Ciudad,Centro,Calle 81,264.61,4,10:31,19:28,ABC-566,1,No,Cambio ruta
FR-152,2161,11,Operador 35,2026-01-28,Traslado,12975,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,33007,Ciudad,Centro,Calle 41,297.36,1,4:21,12:37,ABC-808,2,No,Botón pánico
FR-153,8996,23,Operador 38,2025-10-19,Traslado,24312,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,19491,Ciudad,Centro,Calle 30,105.66,9,9:05,22:29,ABC-172,2,No,OK
FR-154,1446,22,Operador 12,2026-03-13,Recolección,21978,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,33482,Ciudad,Centro,Calle 10,117.6,4,22:14,19:29,ABC-132,3,No,Botón pánico
FR-155,3613,39,Operador 41,2025-12-26,Recolección,94896,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,86772,Ciudad,Centro,Calle 19,278.07,6,7:32,1:56,ABC-994,1,Sí,OK
FR-156,9356,31,Operador 13,2026-02-11,Traslado,98263,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,92691,Ciudad,Centro,Calle 75,270.39,5,20:30,18:15,ABC-109,2,Sí,Botón pánico
FR-157,1937,43,Operador 30,2026-03-14,Entrega,47660,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,12963,Ciudad,Centro,Calle 98,175.76,5,22:11,20:00,ABC-841,2,Sí,Cambio ruta
FR-158,6466,20,Operador 30,2025-12-24,Traslado,32792,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,43503,Ciudad,Centro,Calle 38,264.13,7,0:26,6:35,ABC-264,1,Sí,OK
FR-159,8648,7,Operador 15,2025-08-26,Recolección,96936,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,13576,Ciudad,Centro,Calle 92,86.81,2,14:47,8:58,ABC-213,1,No,OK
FR-160,4035,47,Operador 37,2026-01-28,Entrega,27211,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,97975,Ciudad,Centro,Calle 28,137.52,4,22:05,3:09,ABC-910,1,No,OK
FR-161,9696,43,Operador 3,2025-04-15,Recolección,94667,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,42763,Ciudad,Centro,Calle 66,201.26,6,14:56,21:17,ABC-749,3,Sí,Cambio ruta
FR-162,3171,35,Operador 37,2025-10-22,Entrega,86712,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,72705,Ciudad,Centro,Calle 49,215.1,1,1:53,17:51,ABC-626,2,No,Cambio ruta
FR-163,5330,50,Operador 7,2026-01-08,Entrega,57581,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,26655,Ciudad,Centro,Calle 59,147.4,4,14:43,8:37,ABC-783,3,No,OK
FR-164,9731,50,Operador 50,2025-06-12,Traslado,32187,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,45066,Ciudad,Centro,Calle 16,75.41,1,3:02,22:06,ABC-180,1,No,OK
FR-165,2149,11,Operador 24,2025-09-24,Entrega,92906,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,83775,Ciudad,Centro,Calle 95,229.13,8,4:45,2:02,ABC-613,2,Sí,OK
FR-166,4630,34,Operador 24,2026-03-19,Entrega,41070,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,36371,Ciudad,Centro,Calle 36,85.4,9,3:04,23:27,ABC-884,2,Sí,Cambio ruta
FR-167,1066,49,Operador 40,2025-05-08,Entrega,85838,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,13400,Ciudad,Centro,Calle 89,270.84,8,5:40,8:44,ABC-814,2,No,Botón pánico
FR-168,1910,30,Operador 12,2025-05-30,Entrega,72118,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,29819,Ciudad,Centro,Calle 56,223.28,3,3:11,10:20,ABC-692,2,Sí,OK
FR-169,6580,18,Operador 42,2025-08-09,Traslado,22041,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,20820,Ciudad,Centro,Calle 16,222.73,5,15:28,9:27,ABC-465,3,Sí,Cambio ruta
FR-170,5400,44,Operador 1,2025-12-29,Traslado,30746,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,20108,Ciudad,Centro,Calle 69,58.21,2,3:48,20:01,ABC-285,2,No,Cambio ruta
FR-171,6331,35,Operador 43,2025-08-03,Recolección,70743,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,81853,Ciudad,Centro,Calle 63,120.64,10,12:07,19:04,ABC-961,2,No,OK
FR-172,5384,24,Operador 30,2025-07-20,Entrega,51081,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,36506,Ciudad,Centro,Calle 79,221.75,6,7:21,8:04,ABC-931,1,Sí,OK
FR-173,2146,38,Operador 12,2025-12-14,Recolección,69192,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,46598,Ciudad,Centro,Calle 38,145.9,1,5:05,4:50,ABC-173,1,No,OK
FR-174,4179,32,Operador 30,2025-08-24,Entrega,38373,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,17455,Ciudad,Centro,Calle 1,78.29,9,13:18,12:20,ABC-633,2,Sí,OK
FR-175,1725,46,Operador 15,2025-09-04,Recolección,35441,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,98816,Ciudad,Centro,Calle 44,235.31,7,22:29,9:24,ABC-116,1,No,Botón pánico
FR-176,2330,27,Operador 17,2025-05-20,Entrega,34581,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,62337,Ciudad,Centro,Calle 89,101.85,1,19:44,0:01,ABC-314,2,Sí,OK
FR-177,8514,28,Operador 9,2025-05-24,Entrega,22041,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,58493,Ciudad,Centro,Calle 68,196.73,9,16:17,7:31,ABC-440,3,Sí,Cambio ruta
FR-178,7647,7,Operador 25,2026-01-20,Entrega,97411,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,50498,Ciudad,Centro,Calle 23,187.21,9,15:55,18:29,ABC-534,1,No,OK
FR-179,5101,45,Operador 44,2025-07-30,Traslado,99044,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,48552,Ciudad,Centro,Calle 67,198.75,2,16:55,23:29,ABC-218,2,Sí,OK
FR-180,8314,46,Operador 49,2026-02-16,Recolección,57241,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,18793,Ciudad,Centro,Calle 96,270.33,5,19:33,18:49,ABC-171,3,No,Cambio ruta
FR-181,9763,15,Operador 7,2025-11-17,Traslado,41982,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,48029,Ciudad,Centro,Calle 79,298.96,8,15:18,6:31,ABC-358,1,No,Botón pánico
FR-182,2546,16,Operador 46,2025-09-21,Entrega,78421,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,23998,Ciudad,Centro,Calle 49,107.74,9,8:25,6:20,ABC-130,3,Sí,Botón pánico
FR-183,4212,43,Operador 14,2025-09-01,Entrega,61363,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,20887,Ciudad,Centro,Calle 76,73.42,8,16:36,9:39,ABC-134,1,Sí,Botón pánico
FR-184,7067,44,Operador 47,2025-10-17,Traslado,49193,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,46361,Ciudad,Centro,Calle 37,287.4,8,1:41,2:38,ABC-874,1,Sí,Cambio ruta
FR-185,4846,16,Operador 42,2025-09-25,Recolección,54162,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,52445,Ciudad,Centro,Calle 41,227.71,9,9:03,23:10,ABC-498,2,Sí,OK
FR-186,6666,37,Operador 26,2026-01-30,Traslado,88638,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,64706,Ciudad,Centro,Calle 29,155.44,7,7:54,7:45,ABC-258,3,No,OK
FR-187,4326,41,Operador 40,2025-08-07,Entrega,66156,CDMX-Veracruz,Ruta 1,Cliente 10,CDMX,98457,Ciudad,Centro,Calle 78,285.52,9,7:40,17:27,ABC-892,3,No,Botón pánico
FR-188,2878,8,Operador 50,2025-11-08,Traslado,94359,CDMX-Veracruz,Ruta 1,Cliente 3,CDMX,91913,Ciudad,Centro,Calle 11,299.03,5,3:29,12:04,ABC-621,3,Sí,Cambio ruta
FR-189,3373,34,Operador 28,2025-04-08,Recolección,54419,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,17079,Ciudad,Centro,Calle 15,66.94,8,23:00,22:47,ABC-623,2,Sí,OK
FR-190,8018,23,Operador 14,2025-06-23,Recolección,60956,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,26087,Ciudad,Centro,Calle 60,292.14,3,11:12,0:40,ABC-728,1,Sí,Cambio ruta
FR-191,1915,29,Operador 19,2025-08-09,Traslado,78995,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,10537,Ciudad,Centro,Calle 75,134.44,1,13:44,8:49,ABC-739,3,No,OK
FR-192,5373,42,Operador 15,2025-09-03,Recolección,73185,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,69948,Ciudad,Centro,Calle 52,206.52,3,21:30,10:17,ABC-397,3,Sí,Botón pánico
FR-193,1843,24,Operador 43,2025-09-29,Traslado,42566,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,72270,Ciudad,Centro,Calle 33,265.9,2,19:47,12:10,ABC-149,2,No,Cambio ruta
FR-194,7440,38,Operador 22,2025-06-13,Entrega,91695,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,31866,Ciudad,Centro,Calle 8,69.16,8,14:54,19:38,ABC-709,3,Sí,Botón pánico
FR-195,4446,2,Operador 22,2026-02-09,Recolección,85413,CDMX-Veracruz,Ruta 1,Cliente 20,CDMX,61438,Ciudad,Centro,Calle 31,229.81,1,18:42,13:52,ABC-653,3,No,Cambio ruta
FR-196,6768,29,Operador 34,2026-01-14,Entrega,20139,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,24655,Ciudad,Centro,Calle 43,77.22,8,1:06,8:22,ABC-512,3,No,OK
FR-197,1862,24,Operador 35,2026-02-07,Recolección,43619,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,46724,Ciudad,Centro,Calle 47,126.1,3,13:20,20:59,ABC-943,3,No,Cambio ruta
FR-198,3179,40,Operador 30,2025-07-18,Traslado,16851,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,18582,Ciudad,Centro,Calle 91,53.26,7,21:59,1:50,ABC-497,3,No,OK
FR-199,5830,24,Operador 46,2025-11-05,Traslado,24243,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,48907,Ciudad,Centro,Calle 54,66.02,3,21:27,7:49,ABC-991,2,Sí,Cambio ruta
